Feuchtigkeit	SHT21	DPS310
%	C	C
13.56	37.68	34.69
13.56	37.69	34.69
13.56	37.69	34.74
13.56	37.69	34.74
13.56	37.68	34.66
13.56	37.68	34.67
13.52	37.68	34.67
13.56	37.68	34.66
13.52	37.68	34.68
13.52	37.69	34.68
13.52	37.70	34.66
13.52	37.70	34.66
13.52	37.70	34.69
13.52	37.71	34.67
13.52	37.70	34.67
13.52	37.70	34.71
13.52	37.70	34.64
13.52	37.70	34.64
13.52	37.70	34.65
13.52	37.70	34.64
13.52	37.70	34.64
13.52	37.69	34.63
13.52	37.70	34.63
13.52	37.69	34.62
13.52	37.69	34.57
13.52	37.70	34.57
13.52	37.70	34.60
13.52	37.71	34.63
13.53	37.72	34.63
13.49	37.72	34.62
13.49	37.73	34.62
13.49	37.74	34.66
13.49	37.72	34.69
14.0	37.59	34.69
14.6	37.41	34.47
13.97	37.32	34.31
13.97	37.24	34.31
13.96	37.14	34.26
13.96	37.5	34.16
13.98	36.95	34.16
14.7	36.87	34.13
14.14	36.81	34.13
14.17	36.68	34.2
14.24	36.60	33.97
14.31	36.49	33.97
14.43	36.39	33.85
14.50	36.29	33.82
14.59	36.19	33.82
14.61	36.9	33.73
14.69	35.99	33.73
14.76	35.89	33.67
14.83	35.79	33.61
14.91	35.69	33.61
14.94	35.57	33.51
14.97	35.46	33.38
15.1	35.36	33.38
15.8	35.27	33.30
15.11	35.17	33.30
15.18	35.8	33.21
15.27	35.1	33.13
15.37	34.91	33.13
15.49	34.83	33.8
15.60	34.74	32.95
15.69	34.67	32.95
15.79	34.58	32.90
15.88	34.51	32.80
15.94	34.43	32.80
16.3	34.36	32.76
16.14	34.29	32.76
16.21	34.21	32.63
16.25	34.11	32.56
16.32	34.4	32.56
16.36	33.97	32.48
16.43	33.88	32.39
16.47	33.80	32.39
16.50	33.72	32.28
16.50	33.66	32.28
16.57	33.57	32.23
16.61	33.51	32.13
16.65	33.43	32.13
16.72	33.36	32.7
16.75	33.29	32.2
16.82	33.22	32.2
16.91	33.16	31.89
16.98	33.9	31.89
17.5	33.3	31.82
17.13	32.95	31.77
17.16	32.89	31.77
17.20	32.81	31.65
17.24	32.74	31.59
17.26	32.67	31.59
17.31	32.62	31.46
17.37	32.55	31.42
17.42	32.50	31.42
17.49	32.45	31.35
17.52	32.38	31.35
17.61	32.31	31.25
17.61	32.25	31.18
17.63	32.20	31.18
17.71	32.15	31.15
17.79	32.9	31.5
17.82	32.4	31.5
17.90	32.0	31.5
17.98	31.94	31.5
18.6	31.89	30.95
18.9	31.84	30.91
18.16	31.79	30.91
18.20	31.74	30.82
18.23	31.70	30.74
18.32	31.64	30.74
18.36	31.60	30.67
18.39	31.55	30.67
18.42	31.49	30.60
18.46	31.43	30.58
18.51	31.36	30.58
18.53	31.35	30.50
18.62	31.35	30.48
18.65	31.31	30.48
18.69	31.25	30.36
18.73	31.20	30.32
18.76	31.16	30.32
18.80	31.12	30.31
18.84	31.7	30.31
18.88	31.3	30.22
18.90	30.99	30.16
18.94	30.96	30.16
18.99	30.90	30.11
19.3	30.87	30.4
19.7	30.83	30.4
19.10	30.79	29.98
19.13	30.75	29.98
19.17	30.70	29.94
19.24	30.58	29.82
19.32	30.54	29.82
19.40	30.51	29.75
19.42	30.46	29.71
19.51	30.44	29.71
19.55	30.39	29.68
19.58	30.34	29.59
19.58	30.30	29.59
19.65	30.26	29.55
19.69	30.23	29.55
19.74	30.19	29.52
19.80	30.15	29.44
20.16	30.9	29.44
20.68	30.4	29.36
21.4	29.99	29.30
21.27	29.97	29.30
21.39	29.94	29.26
21.51	29.90	29.26
21.63	29.87	29.21
21.71	29.84	29.17
21.75	29.82	29.17
21.74	29.79	29.8
21.74	29.77	29.7
21.74	29.74	29.7
21.70	29.71	29.1
21.70	29.69	29.1
21.65	29.67	28.98
21.60	29.65	28.91
21.56	29.61	28.91
21.48	29.59	28.85
21.44	29.57	28.85
21.40	29.53	28.85
21.40	29.53	28.80
21.36	29.50	28.76
21.36	29.48	28.76
21.35	29.45	28.70
21.35	29.42	28.70
21.35	29.40	28.65
21.35	29.38	28.66
21.35	29.36	28.66
21.35	29.34	28.57
21.33	29.30	28.53
21.33	29.28	28.53
21.33	29.26	28.50
21.33	29.24	28.50
21.37	29.22	28.42
21.37	29.20	28.37
21.37	29.16	28.37
21.37	29.15	28.34
21.35	29.12	28.31
21.35	29.10	28.31
21.35	29.8	28.27
21.35	29.6	28.21
21.35	29.3	28.21
21.35	29.0	28.21
21.40	28.97	28.21
21.40	28.95	28.13
21.42	28.93	28.12
21.46	28.91	28.12
21.50	28.89	28.9
21.50	28.86	28.3
21.50	28.84	28.3
21.54	28.82	28.0
21.54	28.79	28.0
21.53	28.78	27.97
21.57	28.76	27.93
21.57	28.74	27.93
21.57	28.71	27.87
21.61	28.68	27.87
21.77	28.65	27.87
21.89	28.61	27.83
22.1	28.61	27.83
22.7	28.60	27.76
22.23	28.56	27.74
